"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CYP2C9",-2.09845803567512,7.06056560503924,-3.12136031685818,0.00366914486615743,0.104870099170554,-1.88316367871285
"PHEX",-0.770790397705342,5.10925178370291,-3.12089324454496,0.00367365258331216,0.104870099170554,-1.88423682288292
"OTC",-1.69321834989025,7.8237324770581,-3.120666341962,0.00367584431826373,0.104870099170554,-1.88475812366442
"ZNF204P",0.560557016098796,6.6901735487665,3.12040290124869,0.00367839054574543,0.104870099170554,-1.88536334489472
"CBX1",0.368319988924424,8.61850592593179,3.1191552270217,0.00369047242392638,0.10507755272656,-1.88822935665223
"SNORA27",0.46455792189172,6.08246080225503,3.11712596484198,0.00371020332328744,0.105280827141344,-1.89288947166023
"TFCP2L1",1.99480582495726,9.87646233236832,3.11668048256551,0.00371454821576249,0.105280827141344,-1.89391229229322
"KIF17",-0.532388701388286,4.9004993437693,-3.11637347047704,0.00371754538696897,0.105280827141344,-1.89461714328566
"PROS1",0.644778685391337,9.24520423799061,3.11606415962896,0.00372056732081425,0.105280827141344,-1.89532723541463
"IFI27",-0.853322152306565,10.6911911754894,-3.11594985015645,0.00372168470207431,0.105280827141344,-1.89558964907681
"IFIT5",-0.51726590998739,8.5116396010694,-3.11470441272053,0.00373387957893253,0.105396895002944,-1.89844840399241
"PDE4DIP",-0.440729479515541,10.6513628461605,-3.11454660071185,0.00373542752216954,0.105396895002944,-1.89881060049047
"HLA-DRA",-1.05390366015075,12.7310155649841,-3.11316190851401,0.00374903580542471,0.105644543759307,-1.90198821751511
"GSN",0.682983226706689,12.3318365324408,3.11209269051307,0.00375957589429566,0.105696168110312,-1.90444137592145
"MOCS1",-0.623626994497723,8.22138943570256,-3.11199553748775,0.0037605349974767,0.105696168110312,-1.90466425707089
"CGNL1",0.642095987710783,7.07805535190774,3.10931921441978,0.00378704737755604,0.105976060277394,-1.91080265186032
"C21orf88",1.17075953318332,5.43473365175319,3.1092597061692,0.00378763889331374,0.105976060277394,-1.91093910829417
"C1orf115",-1.07754014975409,10.2060285909004,-3.1091518616672,0.00378871109786969,0.105976060277394,-1.91118639954772
"SULT2B1",-1.02186161343894,5.56549478136906,-3.10903444744451,0.00378987877335355,0.105976060277394,-1.91145562942897
"HCP5",-0.607206768612853,9.11792934792649,-3.10484071269313,0.0038318097669832,0.106727570224165,-1.92106835418091
"SNORA52",0.411104969939107,8.75807963995745,3.10456478870346,0.00383458396525901,0.106727570224165,-1.9217005796949
"XKR9",-1.28534588776053,5.87033779877198,-3.10432396935882,0.00383700677114723,0.106727570224165,-1.92225234585462
"VIT",0.583359452249183,5.20082090084569,3.1041572656455,0.00383868477406551,0.106727570224165,-1.92263428492249
"HAGH",-0.445307710333526,8.39248005778345,-3.10352876164706,0.00384501741932405,0.106727570224165,-1.92407416992878
"VRK3",-0.497720251546855,8.60791086181976,-3.10342750650864,0.00384603856663658,0.106727570224165,-1.92430612836618
"GPR125",0.639268305655939,9.78041929574423,3.10206024021186,0.00385985251783095,0.106854142920103,-1.92743791762821
"RAB3B",0.698579174573259,7.43857342471546,3.10170152566208,0.00386348451794545,0.106854142920103,-1.92825945115257
